stream_path,line_id,speech_ratio,keep_spans,dropped
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s01300/wav/english/windows/sq_cs04_s01300_voice_track.english.core.stream,sq_cs04_s01300#track0,0.8369,21.129:79.693;80.495:108.01;110.516:138.418;141.212:167.393;169.95:227.805;231.425:255.261;258.645:286.935;287.923:315.336,0
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00900/wav/english/windows/sq_cs07_s00900_voice_track.english.core.stream,sq_cs07_s00900#track0,0.7544,0.0:5.022;40.299:63.915;70.59:100.855;102.011:130.504;132.842:162.567;163.385:185.905;202.13:226.253;241.179:270.567;273.039:292.504;301.507:359.059;360.435:386.397;392.295:421.227;422.4:449.391;450.817:477.42;479.64:500.37;508.985:536.736,0
ds/sounds/wwise_cinematics_sound_resource/cs53/sq_cs53_s00300/wav/english/windows/sq_cs53_s00300_voice_track.english.core.stream,sq_cs53_s00300#track0,0.7331,8.726:35.683;37.498:62.16;64.11:90.747;98.957:128.007;128.876:159.478,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s00100/wav/english/windows/sq_cs05_s00100_voice_track.english.core.stream,sq_cs05_s00100#track0,0.7621,6.92:30.537;38.831:68.944;69.51:185.922;187.112:212.044;215.715:223.587,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s00150/wav/english/windows/sq_cs05_s00150_voice_track.english.core.stream,sq_cs05_s00150#track0,0.7026,34.528:62.953;63.789:118.911;123.476:176.978;183.197:205.328,0
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s01500/wav/english/windows/sq_cs04_s01500_voice_track.english.core.stream,sq_cs04_s01500#track0,0.5226,1.132:24.175;28.689:57.705;58.912:60.152,0
ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s01000/wav/english/windows/sq_cs08_s01000_voice_track.english.core.stream,sq_cs08_s01000#track0,0.1265,57.579:72.91;86.773:88.367;123.594:134.689;155.522:162.33,0
ds/sounds/wwise_cinematics_sound_resource/cs06/sq_cs06_s00300/wav/english/windows/sq_cs06_s00300_voice_track.english.core.stream,sq_cs06_s00300#track0,0.7316,85.001:88.097;113.942:139.347;143.068:249.912;251.287:362.653;364.097:392.826;393.543:421.243;421.927:449.425;450.176:480.357;481.935:510.529;511.128:541.545;543.748:548.869,0
ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00700/wav/english/windows/sq_cs10_s00700_voice_track.english.core.stream,sq_cs10_s00700#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c005/wav/english/windows/sq_cs80_s00100_c005_voice_track.english.core.stream,sq_cs80_s00100_c005#track0,0.3821,34.967:54.752;75.888:99.842,0
ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s00200/wav/english/windows/sq_cs03_s00200_voice_track.english.core.stream,sq_cs03_s00200#track0,0.8641,4.136:26.132;26.664:57.334;57.967:85.11;88.747:145.084;145.802:175.105;178.742:204.838,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00100/wav/english/windows/sq_cs09_s00100_voice_track.english.core.stream,sq_cs09_s00100#track0,0.8368,5.267:33.878;34.697:62.228;63.654:90.966;92.426:120.835;122.295:206.492;207.75:233.526;237.129:266.483;268.871:277.84,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00410/wav/english/windows/sq_cs09_s00410_voice_aml_track.english.core.stream,sq_cs09_s00410#track0,0.731,7.983:36.814;37.869:64.742;65.882:73.72,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00410/wav/english/windows/sq_cs09_s00410_voice_aml_nar_track.english.core.stream,sq_cs09_s00410#track1,0.0548,1.453:6.456,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00420/wav/english/windows/sq_cs09_s00420_voice_aml_track.english.core.stream,sq_cs09_s00420#track0,0.7098,24.673:82.258;83.263:108.347;109.858:118.995,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00420/wav/english/windows/sq_cs09_s00420_voice_aml_nar_track.english.core.stream,sq_cs09_s00420#track1,0.3603,5.233:17.374,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00450/wav/english/windows/sq_cs09_s00450_voice_track.english.core.stream,sq_cs09_s00450#track0,0.1582,8.388:14.37,0
ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s00100/wav/english/windows/sq_cs03_s00100_voice_track.english.core.stream,sq_cs03_s00100#track0,0.391,6.718:28.09;58.001:75.694,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01500/wav/english/windows/sq_cs05_s01500_voice_track.english.core.stream,sq_cs05_s01500#track0,0.7035,4.355:33.692,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s00900/wav/english/windows/sq_cs05_s00900_voice_track.english.core.stream,sq_cs05_s00900#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00830/wav/english/windows/sq_cs07_s00830_voice_track.english.core.stream,sq_cs07_s00830#track0,0.4662,5.233:13.628,0
ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c001/wav/english/windows/sq_cs80_s00100_c001_voice_track.english.core.stream,sq_cs80_s00100_c001#track0,0.4635,7.308:36.898;45.648:46.872,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00440/wav/english/windows/sq_cs09_s00440_voice_aml_nar_track.english.core.stream,sq_cs09_s00440#track0,0.1734,3.14:12.109;66.81:96.636;98.332:100.686,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00440/wav/english/windows/sq_cs09_s00440_voice_aml_pst_track.english.core.stream,sq_cs09_s00440#track1,0.1201,12.776:17.442;60.667:84.435,0
ds/sounds/wwise_cinematics_sound_resource/cs09/sq_cs09_s00440/wav/english/windows/sq_cs09_s00440_voice_aml_track.english.core.stream,sq_cs09_s00440#track2,0.4188,115.68:144.325;145.11:169.992;170.979:198.055;199.245:215.74,0
ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s00500/wav/english/windows/sq_cs03_s00500_voice_track.english.core.stream,sq_cs03_s00500#track0,0.7009,54.035:82.343;83.094:111.958;112.507:143.143;143.777:174.16;174.86:202.78;204.273:234.538;236.066:264.087;268.297:270.28,0
