scene,status,track_index,voice_track_stream
sq_cs71_s00600_c201,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c201/wav/english/windows/sq_cs71_s00600_c201_voice_track.english.core.stream
sq_cs71_s00600_c202,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c202/wav/english/windows/sq_cs71_s00600_c202_voice_track.english.core.stream
sq_cs71_s00600_c204,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c204/wav/english/windows/sq_cs71_s00600_c204_voice_track.english.core.stream
sq_cs71_s00600_c205,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c205/wav/english/windows/sq_cs71_s00600_c205_voice_track.english.core.stream
sq_cs71_s00600_c207,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c207/wav/english/windows/sq_cs71_s00600_c207_voice_track.english.core.stream
sq_cs71_s00920_c102,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00920/c102/wav/english/windows/sq_cs71_s00920_c102_voice_track.english.core.stream
sq_cs71_s50600_c210,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s50600/c210/wav/english/windows/sq_cs71_s50600_c210_voice_track.english.core.stream
sq_cs71_s50600_c211,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s50600/c211/wav/english/windows/sq_cs71_s50600_c211_voice_track.english.core.stream
sq_cs07_s01000,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s01000/wav/english/windows/sq_cs07_s01000_voice_track.english.core.stream
sq_cs03_s01300,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s01300/wav/english/windows/sq_cs03_s01300_voice_track.english.core.stream
sq_cs01_s00500,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00500/wav/english/windows/sq_cs01_s00500_voice_track.english.core.stream
sq_cs07_s00850,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00850/wav/english/windows/sq_cs07_s00850_voice_track.english.core.stream
sq_cs80_s00100_c007,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c007/wav/english/windows/sq_cs80_s00100_c007_voice_track.english.core.stream
